size,time_androguard,time_kunai,memory_androguard,memory_kunai,time_improve_factor,memory_improve_factor,package
824,0.08749,0.000381,57180,5040,229.63254593175853,11.345238095238095,sg.bigo.live
1324,0.10506,0.000608,57136,5116,172.79605263157893,11.168100078186082,com.android.chrome
1388,0.07666,0.000421,57068,4976,182.09026128266035,11.468649517684888,video.like
1392,0.11049,0.000427,57088,4972,258.75878220140515,11.48189863234111,video.like
1540,0.09487,0.000726,57220,5096,130.6749311294766,11.228414442700156,com.android.chrome
3652,0.10468,0.001842,57388,5008,56.82953311617806,11.45926517571885,com.android.chrome
4588,0.09415,0.001283,57396,5016,73.38269680436477,11.442583732057416,com.whatsapp.wallpaper
16416,0.1772,0.007707,58720,5784,22.992085117425717,10.152143845089903,com.pinterest
20896,0.25576,0.008353,59164,5844,30.618939303244343,10.123887748117728,com.pinterest
27880,0.28416,0.014886,60148,6544,19.08907698508666,9.191320293398533,sg.bigo.live
29696,0.29184,0.014731,60164,6236,19.811282329780735,9.647851186658114,com.pinterest
32556,0.29914,0.015991,60356,6632,18.706772559564758,9.100723763570567,com.android.chrome
38656,0.34665,0.015471,61164,6736,22.40643785146403,9.080166270783849,com.pinterest
40668,0.38289,0.018187,61352,6760,21.05294990927586,9.075739644970414,com.pinterest
40904,0.47089,0.018417,61564,7060,25.56822500950209,8.720113314447593,com.pinterest
40976,0.37878,0.018188,61356,6784,20.8258192214647,9.044221698113208,com.pinterest
43040,0.39592,0.021227,61768,7416,18.651717152682902,8.329018338727076,com.pinterest
43672,0.36698,0.020061,61520,6852,18.293205722546233,8.978400467016929,com.pinterest
58652,0.66384,0.028497,63820,8652,23.295083693020317,7.376329172445677,com.google.android.projection.gearhead
60612,0.592,0.027453,63620,8136,21.564127782027462,7.819567354965585,com.pinterest
60840,0.51882,0.027959,63392,7836,18.556457670159876,8.089841755997957,com.pinterest
66432,0.63092,0.028432,64048,8376,22.190489589195273,7.6466093600764085,sg.bigo.live
67448,0.7783,0.035836,65908,9672,21.71838374818618,6.814309346567411,com.google.android.apps.translate
68444,0.59995,0.030976,64072,8064,19.368220557851238,7.945436507936508,com.pinterest
69524,0.62096,0.031228,64392,8408,19.884718842064814,7.658420551855376,com.pinterest
73456,0.67608,0.032603,64616,8604,20.736742017605742,7.509995350999535,com.pinterest
75576,0.42664,0.033014,63516,8572,12.923002362634033,7.409706019598693,com.duolingo
78060,0.96883,0.035539,65744,8812,27.26103717043248,7.4607353608715385,com.pinterest
81408,0.72845,0.040617,66104,8920,17.934608661397938,7.410762331838565,com.pinterest
84132,0.76712,0.037207,65968,9524,20.617625715591153,6.9265014699706,video.like
84220,0.74079,0.040159,65984,8852,18.446425458801265,7.454134658834162,com.pinterest
84428,0.75412,0.03151,64776,8612,23.93271977150111,7.5215977705527175,com.kakao.talk
85864,1.0387,0.044975,68340,10868,23.095052807115064,6.288185498711814,com.google.android.calculator
88872,0.76875,0.042749,66540,9404,17.98287679243959,7.075712462781795,com.pinterest
89156,1.01655,0.03904,66588,9328,26.03867827868853,7.138507718696398,com.pinterest
91328,0.79023,0.041873,66924,9488,18.872065531488072,7.0535413153457,com.pinterest
103652,0.8189,0.045082,68160,10336,18.16467769841622,6.594427244582043,jp.naver.line.android
110368,1.16144,0.058152,69556,11276,19.972485899023248,6.168499467896417,sg.bigo.live
115216,1.01317,0.052935,69492,11012,19.139888542552185,6.31057028695968,com.pinterest
115616,0.97672,0.055811,69172,10640,17.500492734407196,6.501127819548872,com.pinterest
127312,1.34517,0.06583,71924,11400,20.433996658058636,6.309122807017544,com.pinterest
128332,1.14876,0.064058,71640,11944,17.933123107184112,5.997990622906899,com.pinterest
141876,1.0928,0.062431,70588,11748,17.504124553507072,6.008512087163773,com.playgendary.tom
142388,1.911,0.092838,73744,12424,20.584243520972016,5.935608499678042,com.viber.voip
143296,1.36944,0.06818,74492,13740,20.08565561748313,5.421542940320233,jp.naver.line.android
151048,1.64689,0.089777,74452,12600,18.34423070496898,5.908888888888889,com.pinterest
161392,1.57264,0.076073,75092,13896,20.67277483469825,5.403857225100748,video.like
167456,1.6467,0.09105,77964,15772,18.085667215815484,4.943190464113619,com.android.chrome
168652,1.78854,0.083784,76664,15108,21.34703523345746,5.074397670108552,video.like
173852,1.4905,0.097827,76468,14036,15.236080018808714,5.447990880592761,com.pinterest
178388,2.05198,0.093589,80108,17072,21.92543995555033,4.692361761949391,com.google.android.videos
183440,1.8295,0.088525,77368,15236,20.66647839593335,5.077973221317931,video.like
184020,1.7224,0.090044,78320,17208,19.12842610279419,4.551371455137145,sinet.startup.inDriver
186712,1.74048,0.091971,78684,17564,18.924226114753566,4.479845137781826,com.azarlive.android
188544,1.74489,0.095204,78960,17840,18.327906390487797,4.426008968609866,com.duolingo
191076,1.82133,0.095985,79408,18024,18.97515236755743,4.405681313803817,com.tinder
195268,1.73885,0.091585,79328,16200,18.986187694491456,4.89679012345679,com.creativemobile.DragRacing
202160,2.27185,0.108171,83340,18892,21.002394357082768,4.411391065001059,com.google.android.apps.books
203512,2.38724,0.1086,83384,18936,21.981952117863717,4.403464300802704,com.google.android.apps.subscriptions.red
204284,2.58384,0.102348,81064,17184,25.24563254777817,4.717411545623836,com.google.android.inputmethod.latin
205340,2.38677,0.109203,83856,19296,21.85626768495371,4.345771144278607,com.google.android.apps.plus
207676,1.87951,0.114517,81716,17972,16.412497707763915,4.546850656576898,sg.bigo.live
