package_name,file,delta_strings,delta_strings_div,delta_types,delta_types_div,delta_protos,delta_protos_div,delta_fields,delta_fields_div,delta_methods,delta_methods_div,delta_classes,delta_classes_div,delta_instructions,delta_instructions_div,delta_classanalysis,delta_classanalysis_div,delta_classes_xref_from,delta_classes_xref_from_div,delta_classes_xref_to,delta_classes_xref_to_div,delta_classes_xref_const_class,delta_classes_xref_const_class_div,delta_class_xref_new_instance,delta_class_xref_new_instance_div,delta_methodanalysis,delta_methodanalysis_div,delta_method_xref_const_class,delta_method_xref_const_class_div,delta_method_xref_from,delta_method_xref_from_div,delta_method_xref_new_instance,delta_method_xref_new_instance_div,delta_method_xref_read,delta_method_xref_read_div,delta_method_xref_to,delta_method_xref_to_div,delta_method_xref_write,delta_method_xref_write_div,delta_fieldanalysis,delta_fieldanalysis_div,delta_field_xref_read,delta_field_xref_read_div,delta_field_xref_write,delta_field_xref_write_div,delta_stringanalysis,delta_stringanalysis_div,delta_str_xref_from,delta_str_xref_from_div
com.fungames.blockcraft,classes2_dex,0,1.0,11166,INF,17158,INF,1495,1.0236490761832449,0,1.0,0,1.0,0,1.0,1307,1.1496622008473605,45787,INF,45787,INF,1486,INF,15982,INF,8351,1.146745624516764,1486,INF,172928,INF,15982,INF,7002,1.087239291320924,172928,INF,1153,1.034004777774501,1019,1.0305565551157492,30012,1.524208761265982,3544,1.112450818631806,-50,0.996391454965358,138,1.0060798308220988
com.fungames.blockcraft,classes3_dex,0,1.0,12476,INF,14652,INF,1327,1.0409744951522262,0,1.0,0,1.0,0,1.0,1258,1.1234301412872842,54466,INF,54466,INF,784,INF,17722,INF,9100,1.1615566247092868,784,INF,181624,INF,17722,INF,6026,1.078344189190946,181624,INF,480,1.0132787429456678,1326,1.0363068835222606,28890,1.5344754222707342,2293,1.0667831658657347,-41,0.9965543322968317,322,1.0155796400232242
com.fungames.blockcraft,classes4_dex,0,1.0,8094,INF,13022,INF,1049,1.0163024896652473,0,1.0,0,1.0,0,1.0,775,1.115809922295278,40045,INF,40045,INF,707,INF,15017,INF,6106,1.124143539697062,707,INF,159539,INF,15017,INF,4089,1.0644789958370127,159539,INF,793,1.031765742669444,997,1.038281369989249,22353,1.4950611268603826,2583,1.1114611202209372,-9,0.9992197659297789,696,1.0236654199251956
com.fungames.blockcraft,classes5_dex,0,1.0,5234,INF,14624,INF,1418,1.0577761479851688,0,1.0,0,1.0,0,1.0,847,1.2177377892030847,25305,INF,25305,INF,1002,INF,10503,INF,5954,1.1010659967409018,1002,INF,125072,INF,10503,INF,4335,1.108761101911787,125072,INF,1145,1.051465300251708,752,1.0565413533834587,11757,1.3624676285608583,2487,1.1189610638094327,0,1.0,185,1.016409437644137
com.fungames.blockcraft,classes6_dex,0,1.0,8737,INF,13108,INF,1147,1.0565749235474007,0,1.0,0,1.0,0,1.0,534,1.0694769711163155,44303,INF,44303,INF,487,INF,16076,INF,6706,1.1307186994405567,487,INF,149797,INF,16076,INF,2826,1.06123908379743,149797,INF,556,1.0247242974030595,758,1.033893757825076,12869,1.3564424994460447,2304,1.1110896817743492,0,1.0,97,1.0039438910347631
com.fungames.blockcraft,classes_dex,0,1.0,9705,INF,14708,INF,2054,1.0508201994210358,0,1.0,0,1.0,0,1.0,1186,1.1520317907960518,45832,INF,45832,INF,799,INF,19982,INF,11868,1.2217861748051801,799,INF,193174,INF,19982,INF,12626,1.1420359308381987,193174,INF,1462,1.0409661510872001,1564,1.0444091089783634,44720,1.78733780524305,4250,1.1291793313069909,-2,0.9998819710829153,592,1.0193787030672035
com.microsoft.office.excel,classes2_dex,0,1.0,8572,INF,10920,INF,826,1.0127788607320771,0,1.0,0,1.0,0,1.0,1289,1.2032161437805455,41738,INF,41738,INF,388,INF,12377,INF,7592,1.18696744323499,388,INF,135219,INF,12377,INF,4508,1.0861176380690394,135219,INF,377,1.016743648960739,1081,1.0365499053286449,19957,1.540869423817009,1270,1.0587337557230727,-1,0.9999218811030388,235,1.0119477350144899
com.microsoft.office.excel,classes3_dex,0,1.0,6190,INF,8702,INF,534,1.0082281699255766,0,1.0,0,1.0,0,1.0,1168,1.2815136177392144,27810,INF,27810,INF,174,INF,10165,INF,4879,1.13455969552387,174,INF,121169,INF,10165,INF,2624,1.0614649457731138,121169,INF,218,1.0141494126046602,631,1.0291185971389016,11023,1.3214452350402426,788,1.0531104670755544,0,1.0,452,1.021300659754948
com.microsoft.office.excel,classes4_dex,0,1.0,604,INF,914,INF,44,1.0501710376282782,0,1.0,0,1.0,0,1.0,223,1.8576923076923078,2174,INF,2174,INF,26,INF,1140,INF,762,1.3987441130298273,26,INF,8108,INF,1140,INF,204,1.0743440233236152,8108,INF,15,1.014436958614052,63,1.0645491803278688,1110,1.603917301414581,60,1.0603621730382293,-240,0.8267148014440433,21,1.0096774193548388
com.microsoft.office.excel,classes_dex,0,1.0,11125,INF,16338,INF,496,1.011501982700647,0,1.0,0,1.0,0,1.0,1016,1.1095772217428819,50649,INF,50649,INF,962,INF,20748,INF,7432,1.1288733981862005,962,INF,190093,INF,20748,INF,3785,1.0528786375892372,190093,INF,423,1.0131439935367597,909,1.0278015659407878,24256,1.4746028019096815,2274,1.0749728001055026,0,1.0,463,1.0168039777882627
