pkg_name,app_name,category,downloads,ratings,average_rating,price,growth_30_days,growth_60_days
com.robtopx.geometrydashmeltdown,Geometry Dash Meltdown,GAME_ARCADE,100000000,1815265,4.6,Free,0.24,0.405
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,GAME_ACTION,100000000,1837573,4.45,Free,0.393,0.755
com.bitsmedia.android.muslimpro,Muslim Pro: Quran Athan Prayer,LIFESTYLE,100000000,1816000,3.75,Free,0.215,0.5
com.julian.fastracing,Fast Racing 3D,GAME_RACING,100000000,1854075,4.2,Free,0.005,0.013
com.adobe.psmobile,Photoshop Express Photo Editor,PHOTOGRAPHY,100000000,1875603,4.31,Free,0.489,0.908
com.hitrock.hideonline,Hide Online - Hunters vs Props,GAME_ACTION,100000000,1894519,4.51,Free,1.785,3.153
com.olzhas.carparking.multyplayer,Car Parking Multiplayer,GAME_SIMULATION,100000000,1890219,4.43,Free,3.053,5.813
com.kms.free,Kaspersky Security & VPN,TOOLS,50000000,3914635,4.73,Free,0.368,0.718
com.outfit7.talkingben,Talking Ben the Dog,ENTERTAINMENT,100000000,1913652,4.23,Free,0.178,0.397
com.alibaba.intl.android.apps.poseidon,Alibaba.com - B2B marketplace,SHOPPING,100000000,1875659,4.48,Free,2.513,4.919
com.playgendary.tanks,Tank Stars,GAME_ARCADE,100000000,1992190,0.0,Free,1.028,2.181
com.freeplay.runandfight,Join Clash 3D,GAME_ARCADE,100000000,1979006,4.18,Free,0.772,1.798
com.cyberlink.youperfect,YouCam Perfect - Photo Editor,PHOTOGRAPHY,100000000,2075295,4.4,Free,0.099,0.209
com.cleanteam.oneboost,One Booster: Antivirus&Cleaner,TOOLS,100000000,1918360,4.54,Free,1.006,1.677
com.outfit7.talkinggingerfree,Talking Ginger,ENTERTAINMENT,100000000,1927177,3.75,Free,0.039,0.094
com.amazon.dee.app,Amazon Alexa,LIFESTYLE,100000000,1931919,4.39,Free,5.611,11.07
bubbleshooter.orig,Bubble Shooter,GAME_CASUAL,100000000,1954542,4.42,Free,1.169,2.35
com.bigwinepot.nwdn.international,Remini - AI Photo Enhancer,PHOTOGRAPHY,100000000,2229391,3.86,Free,1.725,3.466
com.google.android.apps.youtube.kids,YouTube Kids,ENTERTAINMENT,100000000,2251207,4.36,Free,1.519,3.26
com.notdoppler.earntodie2,Earn to Die 2,GAME_RACING,100000000,1916469,4.41,Free,0.291,0.651
com.azarlive.android,Azar - video chat & livestream,COMMUNICATION,100000000,1878291,3.96,Free,0.19,0.331
jp.ne.ibis.ibispaintx.app,ibis Paint X,ART_AND_DESIGN,100000000,2174097,4.42,Free,0.855,1.741
com.zing.zalo,Zalo,COMMUNICATION,100000000,2031661,3.91,Free,0.576,1.353
fi.twomenandadog.zombiecatchers,Zombie Catchers : Hunt & sell,GAME_ACTION,100000000,2042349,4.42,Free,0.47,0.947
com.masomo.headball2,Head Ball 2 - Online Soccer,GAME_SPORTS,100000000,2025757,3.98,Free,0.454,1.029
org.thoughtcrime.securesms,Signal Private Messenger,COMMUNICATION,100000000,2153890,4.47,Free,1.009,2.068
com.studiosol.palcomp3,Palco MP3: Listen and download,MUSIC_AND_AUDIO,100000000,2135751,4.22,Free,0.019,0.041
me.zepeto.main,"ZEPETO: 3D avatar, chat & meet",ENTERTAINMENT,100000000,1945555,4.26,Free,2.182,4.228
com.alien.shooter.galaxy.attack,Galaxy Attack: Alien Shooting,GAME_ARCADE,100000000,2294038,4.68,Free,0.574,1.132
com.yandex.browser,Yandex Browser with Protect,PERSONALIZATION,100000000,2221010,4.37,Free,1.029,2.052
com.eterno,Dailyhunt: News Video Cricket,NEWS_AND_MAGAZINES,100000000,2024570,4.27,Free,2.16,4.65
com.instabridge.android,WiFi Passwords Map Instabridge,PRODUCTIVITY,100000000,1993254,4.31,Free,2.093,4.294
com.gamma.scan,QR & Barcode Scanner,TOOLS,100000000,2147798,4.56,Free,1.396,2.751
com.google.android.apps.classroom,Google Classroom,EDUCATION,100000000,1991149,2.36,Free,0.331,0.737
deezer.android.app,Deezer: Music & Podcast Player,MUSIC_AND_AUDIO,100000000,2997962,4.35,Free,0.669,1.365
tunein.player,"TuneIn Radio: News, Music & FM",MUSIC_AND_AUDIO,100000000,2291843,4.68,Free,0.809,1.671
com.accuweather.android,AccuWeather: Weather Radar,WEATHER,100000000,2550283,3.91,Free,0.036,0.084
com.zeptolab.ctr.ads,Cut the Rope,GAME_PUZZLE,100000000,2678575,4.53,Free,0.217,0.425
app.source.getcontact,Getcontact,COMMUNICATION,100000000,2346722,3.9,Free,2.042,4.295
com.playgendary.tom,Tomb of the Mask,GAME_ACTION,100000000,1984620,4.43,Free,0.731,1.345
com.neptune.domino,Higgs Domino Island,GAME_BOARD,50000000,4020857,4.05,Free,2.349,5.183
com.jb.gokeyboard,GO Keyboard Lite - Many Theme,PERSONALIZATION,100000000,2638188,4.44,Free,0.013,0.025
com.matchington.mansion,Matchington Mansion,GAME_PUZZLE,100000000,2215232,4.42,Free,0.383,0.748
